company,ticker,fiscal_year,revenue_100m_CNY,revenue_yoy,net_profit_attrib_100m_CNY,net_profit_yoy,seed_segment_note,rd_note,source,confidence
荃银高科,300087,2024,47.09,+14.77%,1.14,-58.23%,水稻种子18.58亿(+5.67%)；玉米种子5.89亿(+20.43%)；订单粮食/青贮11.91亿(+44.22%),,http://finance.sina.com.cn/stock/aiassist/yjbg/2025-04-29/doc-ineuwcvr4872895.shtml,高
荃银高科(ST荃银),300087,2025,44.95,-4.55%,-2.12,-317.91%,水稻种子-12.93%；小麦种子-12.41%；玉米种子+10.69%；扣非-3.07亿,研发资本化0.35亿(资本化率17.28%)；研发费用1.68亿(+23.42%,第三方笔记),https://static.cninfo.com.cn/finalpage/2026-04-25/1225192807.PDF,高(主指标)/低(研发费用)
隆平高科,000998,2025,84.77,-1.0%,1.66,,玉米种子收入约50.40亿；2025年完成12亿元定增(中信农业),2019年研发投入4.2亿(13.15%,旧数据),GitHub chess99/trading-os 000998/2026-07-11.md 转引 https://pdf.dfcfw.com/pdf/H3_AP202604211821362286_1.pdf,低-中
登海种业,002041,2025,11.02,-11.5%,0.9165,+61.9%,利润93%以上来自玉米杂交种；2025启动转基因大豆登海豆1号试点,,GitHub chess99/trading-os 002041/2026-07-12.md 转引 https://www.sohu.com/a/1013085868_122021998,低-中
大北农,002385,2025,291.19,-10.46%,-6.42,,种业收入15.28亿(玉米8.14亿、水稻5.62亿)；扣非-8.37亿,,GitHub chess99/trading-os 002385/2026-07-12.md 转引 https://static.cninfo.com.cn/finalpage/2026-04-24/1225171414.PDF,低-中
国投丰乐(丰乐种业),000713,2025,29.03,-0.79%,0.6602,-5.47%,扣非0.6667亿(+29.21%)；2024转基因玉米种子销售700万公斤(第三方研报),,GitHub chess99/trading-os 000713/2026-07-11.md；Ronchy2000 鳄鱼派研报2025-06-13,低-中
神农种业(神农科技),300189,2025,2.49,,1.07,,扣非仅434.16万元(净利主要来自非经常性项目),,GitHub chess99/trading-os 300189/2026-07-13.md,低-中
垦丰种业,831888,2024/2025,未找到,,未找到,,,,,—
农发种业,600313,2025,,,,,种子业务收入6.22亿(毛利率27.89%),,GitHub chess99/trading-os 600313/2026-07-16.md,低
敦煌种业,600354,2025,11.34,,0.4725,,,,GitHub chess99/trading-os 600354/2026-07-16.md,低
万向德农,600371,2025,1.98,,0.0554,,,,GitHub chess99/trading-os 002041/2026-07-12.md,低
