company,year,revenue_100m_CNY,gross_margin_pct,net_profit_attrib_100m_CNY,rd_investment_100m_CNY,rd_intensity_pct_of_revenue,national_approved_varieties,order_grain_revenue_100m_CNY,order_grain_share_of_revenue_pct,order_grain_gross_margin_pct,value_type_order_grain,note,source
"荃银高科 (Winall Hi-tech Seed, 300087)",2015,6.07,38.18,0.22,0.245,4.04,4.0,,,,not available,,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2016,7.57,35.94,0.31,0.308,4.06,1.0,,,,not available,,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2017,9.47,40.83,0.62,0.452,4.77,17.0,,,,not available,,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2018,9.1,43.11,0.68,,,,,5.87,3.56,observed,占比与毛利率来自Xie et al. 2023 Agribusiness（引用东方财富2022数据），口径为'contract farming'业务,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2019,11.54,37.74,0.95,,,,1.81,15.65,,observed,订单粮食业务收入1.81亿、占比15.65%（天风2020-12-10深度/东亚前海深度综合表述）,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2020,16.02,30.67,1.33,,,,4.2,26.2,,observed,订单粮食4.2亿 同比+132.45%；2020H1订单农业2.98亿已超2019全年,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2021,25.21,28.83,1.69,0.833,3.3,97.0,7.24,28.73,7.6,estimated (推算) — see note,占比28.73%、毛利率7.6%来自Xie et al. 2023；2021营收由2022年34.91亿/1.3851反推；订单粮食销量26561.52万公斤 +71.58%,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2022,34.91,26.84,2.33,,,63.0,8.94,25.6(推算),,estimated (推算) — see note,2023年报称订单农业收入8.26亿 同比-7.60% → 2022≈8.94亿；2022年报未直接检索到订单粮食数字,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2023,41.03,26.91,2.74,1.403,3.42,73.0,,17.2/20.1(推算),4.89,estimated (推算) — see note,订单粮食7.07亿 毛利率4.89%(-1.14pp)；订单农业8.26亿(-7.60%)；综合毛利率26.91%,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087)",2024,47.09,,1.14,1.708,3.63,78.0,,25.3,2.66(推算),estimated (推算) — see note,订单粮食、青贮饲料11.91亿 +44.22%；2025年报称订单粮食毛利率-1.31%较上年-3.97pp → 2024≈2.66%；'年初25.3%'见界面新闻,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
