period,total_revenue_100m_yuan,order_grain_revenue_100m_yuan,order_grain_share_pct,order_grain_gross_margin_pct,net_profit_attrib_100m_yuan,note,source_url,confidence
2018,,,5.87,3.56,,"占比与毛利率来自Xie et al. 2023 Agribusiness（引用东方财富2022数据），口径为'contract farming'业务",https://doi.org/10.1002/agr.21823,中
2019,11.54,1.81,15.65,,,"订单粮食业务收入1.81亿、占比15.65%（天风2020-12-10深度/东亚前海深度综合表述）",https://pdf.dfcfw.com/pdf/H3_AP202012111439137324_1.pdf,中
2020,16.02,4.20,26.2,,1.34,"订单粮食4.2亿 同比+132.45%；2020H1订单农业2.98亿已超2019全年",https://www.jiemian.com/article/5711493.html,中
2021,25.20(推算),7.24(推算),28.73,7.6,,"占比28.73%、毛利率7.6%来自Xie et al. 2023；2021营收由2022年34.91亿/1.3851反推；订单粮食销量26561.52万公斤 +71.58%",https://doi.org/10.1002/agr.21823,低(推算)
2022,34.91,8.94(推算),25.6(推算),,2.33,"2023年报称订单农业收入8.26亿 同比-7.60% → 2022≈8.94亿；2022年报未直接检索到订单粮食数字",https://www.nbd.com.cn/articles/2023-02-17/2674072.html,低(推算)
2023,41.03,7.07(订单粮食)/8.26(订单农业),17.2/20.1(推算),4.89,,"订单粮食7.07亿 毛利率4.89%(-1.14pp)；订单农业8.26亿(-7.60%)；综合毛利率26.91%",http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-3/2024-03-23/9892532.PDF,高
2024,47.09,11.91(订单粮食+青贮饲料),25.3,2.66(推算),1.14,"订单粮食、青贮饲料11.91亿 +44.22%；2025年报称订单粮食毛利率-1.31%较上年-3.97pp → 2024≈2.66%；'年初25.3%'见界面新闻",https://news.qq.com/rain/a/20250430A02JBQ00,高/中
2025H1,14.44(推算),6.43,44.54,-0.09,,"界面新闻2026-02-28引述：营收占比44.54%、规模6.43亿、毛利率-0.09%；总营收由6.43/0.4454推算",https://www.jiemian.com/article/14045116.html,中
2025Q1-Q3,19.30,,,,-1.80,"营收-5.9%；Q3单季营收4.98亿 -22.8%，亏损1.39亿；销售净利率-13.18%",https://news.qq.com/rain/a/20251030A03WUP00,高
2025FY,44.95,9.81,21.8(推算),-1.31,-2.12,"2025年报：订单粮食收入981,414,760.16元，成本994,255,695.14元，毛利率-1.31%(-3.97pp)；农业业务毛利率20.90%",https://static.cninfo.com.cn/finalpage/2026-04-25/1225192807.PDF,高
2026Q1,6.97,,,,0.1139,"营收-16.58%；种子业务收入+11.74%，订单业务收入-37.28%；归母净利+418.29%；扣非-403.4万",https://finance.sina.com.cn/stock/aigc/stockfs/2026-04-25/doc-inhvrtiq7652602.shtml,高
2026H1,,,,,,"未找到（半年报应于2026-08-29前后披露，本次检索未命中）",,未找到
