journal,cas_2025_major,cas_2025_minor,is_top,impact_factor,oa_apc,review_weeks,scope_fit_1to10,example_paper_doi,notes,confidence
Journal of Integrative Agriculture,农林科学1区(待确认:第三方源),农业综合2区,是(ai4paper基础版1区Top;新锐版1区非Top),5.7(2026口径)/4.4(2025口径);JCR Q1,"无标准APC;KeAi原话OA费用由JIA(CAAS)承担,但收取评审费+稿件处理印刷费(金额待确认);另一源称up to 1000 USD","约12(另报222天/50周,数值分歧大,待确认)",9,10.1016/S2095-3119(16)61615-5,"例文:Shi&Hu2017品种改良;Qiu2016种子选择行为;Huang2018订单农业。摘要<=250词无结构;关键词3-6;作者-年份(Crews and Davies 1986,年份前无逗号);Graphical Abstract鼓励(最小531x1328px);投稿 http://www.ChinaAgriSci.com;Research Article无字数上限,Short Comm<=2500词,Letter<=1500词",中高
Agronomy (MDPI),农林科学2区(待确认;2022版为3区),农艺学(区待确认),否,3.3-3.4;JCR Q1,全OA;APC CHF 2600(2026官方),2.5(首次决定中位17.7天;接收到见刊2.6天),8,10.3390/agronomy14122957,例文:Zou2024安徽japonica2005-2024育种进展(时空与本文数据集重合);Hang2024全国11811个区试;Lu2024国审品种品质1978-2022;Zhao2022种业政策对创新影响。摘要约200词;关键词3-10;编号制参考文献;SuSy投稿。风险:与例文高度同题,中
China Agricultural Economic Review,经济学2区,农业经济与政策2区;经济学2区,否,4.4;JCR Q1,Emerald混合(APC待确认),待确认,9,10.1108/CAER-10-2016-0162,例文:Deng2017种企R&D投入与态度;Jin2017科技政策与商业创新;Zheng2012品种权与农户采用;订单农业先例Wang2011/Ma2016。Harvard参考文献;关键词<=6;字数含图表(每图表约280词);结构化摘要是否强制待确认;仅UK/US英语+Word,中高
Rice Science,农林科学2区,(小类待确认),否,7.4(2026口径)/6.1(2025口径);JCR Q1;5年IF5.6,OA状态三源冲突:DOAJ称无APC/ai4paper称100%Gold OA/Elsevier OACS称个性化OA费用(待确认),"待确认(journalmetrics称首次决定中位6天,疑为desk口径)",8,10.1016/j.rsci.2026.04.004,例文:Gong2026三系杂交稻50年产量-品质-抗性(同题撞车风险极高);Xiao2020稻瘟病抗性基因策略;Cao2010超级稻育种。标题<=30词;摘要<=350词;关键词3-8;author-date体系;双月刊,中高
Agriculture (MDPI),农林科学2区(待确认;2022版为3区),农艺学(区待确认),否,4.5(2026口径);JCR Q1,全OA;APC CHF 2600(2026官方),2.7(首次决定中位18.8天),8,10.3390/agriculture14081213,例文:Li2024上市种企竞争力动态评价(与荃银案例同构);Hu2025种业政策演进;Li2023龙头企业引导农户纵向协作。摘要约200词;关键词3-10;编号制;SuSy投稿,中
Frontiers in Sustainable Food Systems,(新锐版2区/基础版3区),—,否,4.1;JCR Q2,全OA;APC约1950 CHF;有发展中国家waiver,待确认,8,10.3389/fsufs.2023.1071234,例文:Wang2023杂交稻品种扩散与产量效应;Yan2022杂交稻采用经济评估;Liu2025龙头企业引导产前质量控制;Wang2022南方优质稻2007-2017产量改良。跨学科容忍度最高;Frontiers编号制参考文献;摘要字数待确认,中
Field Crops Research,农林科学1区,农艺学2区,是(1区Top),7.9(2026-06更新)/6.4(旧);CiteScore10.5;JCR Q1;h-index202,Hybrid+OA;APC金额待确认,待确认,6,10.1016/j.fcr.2018.05.001,"2025年发文377篇(月刊)。例文全部为再生稻/机械化/产量生理,无审定数据性状演变或种业产业类。摘要<=400词;Highlights必需(3-5条,每条<=85字符);鼓励Graphical Abstract;需CRediT+Data Availability;参考文献格式两源冲突(scispace称elsarticle-num编号制 vs 已刊论文作者-年份)=待确认;Editorial Manager",中
Agricultural Systems,农林科学1区,农业综合1区,是(1区Top),6.2/6.1;CiteScore9.7;SJR Q1;h-index126,Hybrid;APC待确认,"约14.6(首轮评审,SciRev口径)",7,10.1016/j.agsy.2016.05.015,"例文:Spielman&Kennedy2016亚洲种业体系度量与政策(直接先例);Reardon2019食物体系转型。摘要约250词;Research paper<=8000词/Short comm4000/Perspective2000/Comment1000;要求Highlights+Graphical Abstract+CRediT+Data Availability。风险:偏系统建模,纯描述性趋势易拒",中
The Crop Journal,农林科学1区,—,是(1区Top),6.7;JCR Q1,KeAi/Elsevier(APC待确认),"约1.4(review speed 10天,口径存疑);录用率14%",5,10.1016/J.CJ.2021.02.003,"例文仅1条(Liao2021第三代杂交稻技术)。摘要200-300词;关键词3-5;Research paper正文<=7000词,约7个图表,参考文献<=70;投稿 https://www.editorialmanager.com/cj/default.aspx。以分子/遗传机制为主,产业政策几乎不发",中
Frontiers in Plant Science,2区(基础版2区/新锐版2区),—,否,5.9;JCR Q1,全OA;APC 3150 CHF(A型文章),待确认,6,10.3389/fpls.2019.00543,"例文:Li2019中国1978-2017审定品种产量性状关系;Fan2024杂交稻40年外观与食味品质演变;Feng2017籼粳品质2000-2014。Original Research正文<=12000词。育种部分极契合,但企业/产业链内容须删除",中
Rice (Springer),待确认(Q1;Agronomy&Crop Science/Plant Science/Soil Science均Q1),—,待确认,5.8(2026口径);CiteScore7.9;h-index64-80,"全OA;APC EUR 2390/USD 2890/GBP 1990(另一源2690,待确认)",待确认,5,10.1186/s12284-023-00677-6,例文:Seck2023水稻育种计划实现遗传增益;其余9条为分子/抗性/制种技术。产业与政策内容不适配,中
Food Policy,经济学1区,农业经济与政策,待确认,6.8,Elsevier混合;APC待确认,待确认,7,10.1016/j.foodpol.2026.103132,"例文:Li2026优质稻溢价收购渠道与农户地头价(与订单农业直接相关);Guo&Jolly2008合同执行;Jia&Huang2011合作社合同;Zilberman2017创新诱导供应链设计。门槛高,要求强因果识别,单一企业案例难过审",中
