variety,study_ref,doi,role,site,year,trait,value,unit,note,confidence
荃优丝苗 (Quanyousimiao/QYSM),"Zhang C. et al. 2022. Genomic Architecture of Yield Performance of an Elite Rice Hybrid Revealed by its Derived Recombinant Inbred Line and Their Backcross Hybrid Populations. Rice (N Y), 15(1): 49.",10.1186/s12284-022-00595-z,材料+作者单位(Winall Hi-Tech Seed Co. Ltd),中国(基因组研究),2022,RIL群体规模,1061,份,亲本 Quan9311B x 五山丝苗；同文另构建1061份BCF1回交群体；5位作者署荃银高科,high
荃9311B (荃优丝苗母本保持系),"Zafar S. et al. 2022. Genetic dissection of grain traits and their corresponding heterosis in an elite hybrid. Front Plant Sci, 13: 977349.",10.3389/fpls.2022.977349,材料(荃银核心亲本),中国,2022,RIL群体规模,1061,份,粒形/粒重QTL与杂种优势解析,high
KYSM (荃银共有品种),"Fang Y. et al. 2025. Genome-Assisted Breeding of an Elite Sterile Line From Restorer Line for Hybrid Rice. Plant Biotechnol J, 24(2): 523-525.",10.1111/pbi.70367,品种权共有人(Winall Hi-tech Seed Co. Ltd),—,2025,国家审定号,GSD20233095,—,同文给出不育系Huke1B植物新品种权号 CNA20201002638;Huke1A基因组 PRJNA1307643,high
荃银高科(公司),"Xie Z. et al. 2023. Contract farming led by a seed enterprise and incentives to produce high quality: Which contract design performs best? Agribusiness, 39(4): 1173-1198.",10.1002/agr.21823,案例企业,中国,2018,订单农业毛利率,3.56,%,原文正文数据(源标注Eastmoney 2022),high
荃银高科(公司),"Xie Z. et al. 2023. Agribusiness, 39(4): 1173-1198.",10.1002/agr.21823,案例企业,中国,2021,订单农业毛利率,7.60,%,同上,high
荃银高科(公司),"Xie Z. et al. 2023. Agribusiness, 39(4): 1173-1198.",10.1002/agr.21823,案例企业,中国,2018,订单农业收入占比,5.87,%,同上,high
荃银高科(公司),"Xie Z. et al. 2023. Agribusiness, 39(4): 1173-1198.",10.1002/agr.21823,案例企业,中国,2021,订单农业收入占比,28.73,%,同上,high
荃银高科(公司),"Xie Z. et al. 2023. Agribusiness, 39(4): 1173-1198.",10.1002/agr.21823,案例企业,中国,2021,年销售额,356,百万美元,Table 2;注册资本63百万美元;作物为玉米/专用小麦/水稻;同表隆平高科489、丰乐种业366、中农发种业526,high
荃两优1606 / 徽两优丝苗 / 徽两优001 / 徽两优636 / 徽两优996 / 两优8106,"Jin C. et al. 2024. A novel method combining deep learning with the Kennard-Stone algorithm for training dataset selection for image-based rice seed variety identification. J Sci Food Agric, 104(13): 8332-8342.",10.1002/jsfa.13668,材料(商用种子样本集),安徽等5省采购,2024,每品种种子样本数,5900-6100,粒,20个商用优质杂交稻品种;高光谱FX10 400-1000nm;图像30x30px经EDSR超分至120x120px,high
荃优607 / 荃优粤农丝苗(优质稻组),"作物学报. 2026. 水分管理和品种类型对再生稻产量和稻米品质的影响. 作物学报(网络首发2025-11-11).",10.3724/SP.J.1006.2026.52021,材料(优质稻处理品种),湖北蕲春+浠水,2023,头季产量,8.54,t/hm2,对照两优6326;另设旱优8200/116/73节水抗旱稻组,high
荃优607 / 荃优粤农丝苗(优质稻组),"作物学报. 2026. 水分管理和品种类型对再生稻产量和稻米品质的影响.",10.3724/SP.J.1006.2026.52021,材料,湖北蕲春+浠水,2023,再生季产量,5.88,t/hm2,与普通稻相当,high
荃优607 / 荃优粤农丝苗(优质稻组),"作物学报. 2026. 水分管理和品种类型对再生稻产量和稻米品质的影响.",10.3724/SP.J.1006.2026.52021,材料,湖北蕲春+浠水,2023,整精米率较普通稻提高,13.5 / 20.6,百分点,分别为头季/再生季;垩白显著降低,high
荃优607 / 荃优粤农丝苗(优质稻组),"作物学报. 2026. 水分管理和品种类型对再生稻产量和稻米品质的影响.",10.3724/SP.J.1006.2026.52021,材料,湖北蕲春+浠水,2023,节水灌溉较常规灌溉省水,76 / 85,%,分别为头季/再生季;产量与加工外观蒸煮食味品质无显著差异,high
荃优607,"李淑云. 2026. 政和县不同育型品种与移栽密度对再生稻产量、发苗能力影响研究. 农业科学, 9(7).",10.32629/as.v9i7.4153,材料(籼型三系主区),福建政和县半山区,2025,最优移栽密度,30x18 至 30x21,cm,二因素裂区;2/28播种4/5移栽;中密度D3(30x18cm)各品种产量最佳;甬优1540再生苗成苗率85.3%,high
荃优822 等9个品种,"肖群英, 张天术, 杨迎春, 彭英刚, 杨高江, 向安明. 2023. 2022年武陵山区杂交水稻新品种比较试验. 农业科技通讯, (5): 79-82.",,材料(12个杂交稻新品种比较试验),武陵山区,2022,产量,9442.5-10543.5,kg/hm2,比对照瑞优399增产6.17%-18.55%;荃银系参试品种含荃优822/荃优丝苗/荃优1606/荃优919,high
荃优607,"荃优607在宁化县种植表现及高产栽培技术. 2023.(参考网索引,刊名待核)",,材料(机插试种),福建宁化县石壁镇陂下村,2019,实割单产,9.873,t/hm2,对照广8优165为7.743 t/hm2;增产2.13 t/hm2(+27.5%);42个参试品种列第2;面积0.12 hm2,medium
荃优华占,"松桃县水稻新品种筛选试验.(中国农业期刊集成服务平台索引,刊名年期待核)",,材料(品种筛选试验),贵州松桃县,,产量,536.00,kg/667m2,折合8040 kg/hm2;同时记录株高/穗长/有效穗/穗实粒数/结实率/千粒重,low
徽两优898,"方玉民. 2014. 霍山县杂交水稻新品种种植试验研究. 安徽农业科学.",,材料(7品种+CK Ⅱ优838),安徽霍山,2014,产量,10938.3,kg/hm2,产量最高且显著高于CK;稻瘟病抗性强,medium
徽两优898,"方玉民. 2014. 霍山县杂交水稻新品种种植试验研究. 安徽农业科学.",,材料,安徽霍山,2014,结实率,86.7,%,参试品种中最高;株高124cm;单穴有效穗11.5;生育期比CK早7d,medium
徽两优898,"氮肥用量对徽两优898生长及产量的影响.(科研之友索引,刊名年期待核)",,材料(氮肥梯度试验),,,最高经济产量(N 210 kg/hm2),9296.4,kg/hm2,经济产量随施氮量先增后降;处理D=210 kg N/hm2,low
徽两优6号,"姚松. 2011. 徽两优6号特征特性、凤台县种植产量及高产栽培技术. 安徽农业科学.",,材料,安徽凤台县,2009,理论产量,12.40,t/hm2,有效穗262.80x10^4/hm2;每穗总粒197.1;实粒168.5;结实率85.5%;千粒重28.0g;2010年农业部超级稻,medium
徽两优6号,"李军. 2013. 徽两优6号700kg/667m2高产栽培技术. 安徽农学通报, 36-37.",,材料(高产栽培目标),安徽安庆,2013,目标产量,700,kg/667m2,折合10500 kg/hm2,medium
